epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6067,2.0502,18.5352,0.9282,0.00028,0.08451,0.00018,8e-05,2.27819,11.6184,1.11566,0.000657778,0.000657778,0.000657778
2,22.697,2.67914,12.9018,0.96776,0.69641,0.09155,0.1171,0.05352,2.48258,3.72728,1.14796,0.00131133,0.00131133,0.00131133
3,30.5315,2.65712,7.74852,0.95113,0.14871,0.22535,0.05767,0.01425,2.70176,7.59418,1.5631,0.00195169,0.00195169,0.00195169
4,38.2503,2.41135,4.07187,0.94995,0.30115,0.22458,0.13181,0.03977,2.52279,2.2306,1.25625,0.0019406,0.0019406,0.0019406
5,47.1766,2.57523,3.27658,0.95854,0.60109,0.24409,0.29235,0.10448,2.27172,1.6936,1.02936,0.0019208,0.0019208,0.0019208
6,54.7775,2.43479,2.48876,0.96587,0.53204,0.20423,0.22236,0.09055,2.287,2.12016,1.20331,0.001901,0.001901,0.001901
7,61.9968,2.39695,2.17571,0.92216,0.42453,0.24648,0.27482,0.09087,2.44775,1.82483,1.34501,0.0018812,0.0018812,0.0018812
8,69.8316,2.39485,1.99748,0.93379,0.41596,0.22571,0.19198,0.08275,2.28448,2.04504,1.27855,0.0018614,0.0018614,0.0018614
9,79.498,2.18029,1.80637,0.88901,0.34009,0.27584,0.2157,0.06502,2.84734,2.27929,1.21885,0.0018416,0.0018416,0.0018416
10,87.0867,2.36041,1.75032,0.93297,0.43434,0.3169,0.30685,0.11011,2.26045,1.87085,1.15452,0.0018218,0.0018218,0.0018218
11,94.3065,2.17645,1.64725,0.91875,0.51308,0.32394,0.33021,0.11952,2.17883,1.74576,1.1602,0.001802,0.001802,0.001802
12,102.102,2.30585,1.6997,0.90665,0.46713,0.28169,0.29932,0.10421,2.27244,1.86766,1.16042,0.0017822,0.0017822,0.0017822
13,111.771,2.2871,1.59596,0.91027,0.64104,0.35211,0.38913,0.12799,2.21945,1.51832,1.08259,0.0017624,0.0017624,0.0017624
14,119.652,2.20908,1.46804,0.91965,0.55112,0.40639,0.37792,0.12553,2.38863,1.44073,1.2132,0.0017426,0.0017426,0.0017426
15,126.983,2.008,1.39763,0.91184,0.65911,0.35915,0.39973,0.14653,2.12982,1.47629,1.18349,0.0017228,0.0017228,0.0017228
16,134.72,2.09684,1.38639,0.91618,0.61029,0.31985,0.38907,0.1365,2.37635,1.85902,1.23026,0.001703,0.001703,0.001703
17,143.938,2.25148,1.48093,0.86428,0.54603,0.32189,0.34627,0.11734,2.34922,1.78484,1.10681,0.0016832,0.0016832,0.0016832
18,151.668,2.14312,1.39319,0.90244,0.6342,0.3662,0.41571,0.16449,2.15743,1.58631,1.02964,0.0016634,0.0016634,0.0016634
19,159.171,2.04204,1.32977,0.90802,0.71992,0.37324,0.43167,0.17463,2.08826,1.70581,1.11897,0.0016436,0.0016436,0.0016436
20,166.723,2.09275,1.29578,0.91125,0.57449,0.25352,0.32222,0.13221,2.20932,1.73175,1.21484,0.0016238,0.0016238,0.0016238
21,174.521,2.07657,1.37955,0.89102,0.54976,0.32394,0.39179,0.16358,2.04165,1.50639,1.11234,0.001604,0.001604,0.001604
22,183.987,1.99547,1.2523,0.8859,0.69082,0.32394,0.41741,0.17781,2.09672,1.54091,1.11741,0.0015842,0.0015842,0.0015842
23,191.627,2.11223,1.36743,0.8934,0.64156,0.37324,0.45051,0.17108,2.17218,1.69201,1.1547,0.0015644,0.0015644,0.0015644
24,199.163,2.08105,1.32073,0.86561,0.52292,0.3242,0.36236,0.16182,2.09731,1.42947,1.20143,0.0015446,0.0015446,0.0015446
25,206.831,2.06319,1.27606,0.86921,0.50724,0.34507,0.3878,0.16345,2.0088,1.40708,1.06486,0.0015248,0.0015248,0.0015248
26,216.16,1.99618,1.22683,0.88144,0.63858,0.33597,0.39153,0.1716,2.03552,1.40632,1.16075,0.001505,0.001505,0.001505
