epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,223.789,2.00978,1.20564,0.86667,0.55471,0.35211,0.3841,0.15791,2.12963,1.68165,1.17785,0.0014852,0.0014852,0.0014852
28,231.283,2.00197,1.18544,0.90214,0.75614,0.41549,0.4797,0.15767,2.24546,1.4358,1.13254,0.0014654,0.0014654,0.0014654
29,239.28,1.98889,1.20487,0.88196,0.61877,0.40845,0.45159,0.16849,2.00028,1.39126,1.17504,0.0014456,0.0014456,0.0014456
30,249.14,1.95899,1.16966,0.87606,0.60172,0.39437,0.46433,0.17234,2.12032,1.45425,1.12745,0.0014258,0.0014258,0.0014258
31,256.808,1.97426,1.16147,0.88183,0.67891,0.42958,0.48636,0.18794,2.08457,1.33591,1.19175,0.001406,0.001406,0.001406
32,264.26,1.94785,1.14177,0.86039,0.52226,0.26761,0.30576,0.09565,2.27293,1.539,1.07613,0.0013862,0.0013862,0.0013862
33,272.153,1.91942,1.10706,0.85409,0.61955,0.36698,0.42296,0.17311,2.03548,1.68523,1.15757,0.0013664,0.0013664,0.0013664
34,281.436,1.89011,1.0504,0.88851,0.66738,0.43662,0.51179,0.19179,1.89938,1.27918,1.03575,0.0013466,0.0013466,0.0013466
35,288.963,1.88324,1.15364,0.84838,0.6646,0.38028,0.43715,0.18345,1.90556,1.51378,1.0643,0.0013268,0.0013268,0.0013268
36,296.354,1.93137,1.16201,0.86572,0.70977,0.43056,0.50415,0.20903,1.85502,1.39503,1.10817,0.001307,0.001307,0.001307
37,303.948,1.95229,1.10904,0.86813,0.66112,0.40845,0.44854,0.18155,1.91346,1.67141,1.08134,0.0012872,0.0012872,0.0012872
38,311.44,1.82332,1.04007,0.87881,0.75845,0.40845,0.50523,0.18877,1.89716,1.55405,1.05823,0.0012674,0.0012674,0.0012674
39,320.544,1.80642,1.06285,0.85638,0.68669,0.41549,0.48808,0.17917,1.9896,1.59768,1.0415,0.0012476,0.0012476,0.0012476
40,327.95,1.87031,1.12606,0.86677,0.75111,0.32394,0.44796,0.1865,1.83163,1.59735,1.03203,0.0012278,0.0012278,0.0012278
41,335.35,1.91716,1.10611,0.84974,0.67688,0.39437,0.46583,0.17381,1.98946,1.23529,1.07522,0.001208,0.001208,0.001208
42,342.931,1.79536,1.01128,0.85184,0.67694,0.36892,0.44112,0.19337,1.83654,1.30595,1.06223,0.0011882,0.0011882,0.0011882
43,352.052,1.87181,1.11307,0.83721,0.55517,0.43946,0.47865,0.16565,1.96929,1.67758,1.02286,0.0011684,0.0011684,0.0011684
44,359.635,1.71665,0.98445,0.84361,0.69111,0.4412,0.48912,0.20536,2.06804,1.2917,1.23019,0.0011486,0.0011486,0.0011486
45,367.048,1.82106,1.00086,0.83218,0.56925,0.4095,0.45486,0.17267,2.05193,1.2487,1.08533,0.0011288,0.0011288,0.0011288
46,374.662,1.77952,1.00285,0.84019,0.64917,0.3169,0.4097,0.16467,1.96105,1.25397,1.01428,0.001109,0.001109,0.001109
47,384.017,1.72729,0.98953,0.85962,0.75435,0.3662,0.4937,0.21182,2.01796,1.35948,1.0382,0.0010892,0.0010892,0.0010892
48,391.672,1.80263,1.01903,0.83722,0.6674,0.42254,0.50635,0.21284,1.93916,1.20063,1.05543,0.0010694,0.0010694,0.0010694
49,399.035,1.71297,0.98703,0.85974,0.79143,0.40083,0.51198,0.20802,1.86032,1.80884,1.01873,0.0010496,0.0010496,0.0010496
50,406.528,1.83682,1.02339,0.86555,0.68414,0.44235,0.53267,0.21903,1.71516,1.32708,1.0444,0.0010298,0.0010298,0.0010298
51,414.002,1.70538,0.90629,0.85265,0.62863,0.42254,0.4785,0.21019,1.83336,1.22965,1.0519,0.00101,0.00101,0.00101
52,423.246,1.76336,0.99674,0.85274,0.6351,0.43662,0.4895,0.19007,1.82742,1.39506,1.03657,0.0009902,0.0009902,0.0009902
53,430.436,1.84151,1.03657,0.83092,0.64457,0.40141,0.48396,0.20043,1.78509,1.60169,1.0332,0.0009704,0.0009704,0.0009704
54,437.867,1.65248,0.90879,0.83491,0.65579,0.41593,0.49863,0.2076,1.88532,1.40311,1.02829,0.0009506,0.0009506,0.0009506
55,445.331,1.74288,0.94784,0.85697,0.75024,0.45775,0.53592,0.2199,1.88862,1.42227,1.03159,0.0009308,0.0009308,0.0009308
56,454.534,1.668,0.94119,0.84109,0.64621,0.38028,0.46273,0.19747,2.06093,1.51034,1.13743,0.000911,0.000911,0.000911
57,461.824,1.69386,0.94653,0.85193,0.75096,0.40348,0.52833,0.22803,1.94845,1.35583,1.15758,0.0008912,0.0008912,0.0008912
58,469.046,1.70638,0.96952,0.84628,0.67015,0.47183,0.52332,0.21134,1.80838,1.4883,1.06058,0.0008714,0.0008714,0.0008714
59,476.507,1.63022,0.85335,0.8351,0.78604,0.38028,0.52379,0.23104,1.77842,1.27143,1.00201,0.0008516,0.0008516,0.0008516
60,485.851,1.6809,0.92943,0.81495,0.70886,0.41549,0.52541,0.21426,1.72612,1.42434,0.95965,0.0008318,0.0008318,0.0008318
61,493.39,1.65863,0.90676,0.83229,0.58523,0.41549,0.50413,0.19848,1.84028,1.61691,1.0253,0.000812,0.000812,0.000812
62,500.564,1.69879,0.94431,0.84067,0.63922,0.46168,0.53452,0.21945,1.9554,1.27409,1.20973,0.0007922,0.0007922,0.0007922
63,507.936,1.65053,0.92225,0.83718,0.65759,0.42958,0.5348,0.22254,1.81935,1.21617,1.05056,0.0007724,0.0007724,0.0007724
64,515.408,1.69088,0.93968,0.82212,0.62321,0.44262,0.51606,0.21806,1.9181,1.3802,1.10526,0.0007526,0.0007526,0.0007526
65,524.831,1.62988,0.83439,0.85135,0.78583,0.3662,0.49931,0.22607,1.88723,1.42722,1.0737,0.0007328,0.0007328,0.0007328
66,532.001,1.5682,0.86281,0.83672,0.79561,0.35915,0.47028,0.21138,1.91079,1.41911,1.12604,0.000713,0.000713,0.000713
67,539.516,1.67711,0.89319,0.82137,0.68904,0.49296,0.57055,0.25287,1.82013,1.42811,1.16487,0.0006932,0.0006932,0.0006932
68,547.031,1.59054,0.83142,0.8388,0.82249,0.39158,0.51568,0.22688,1.84494,1.42169,1.04457,0.0006734,0.0006734,0.0006734
69,556.39,1.57176,0.86198,0.81602,0.65711,0.5,0.57575,0.24672,1.91565,1.42623,1.22366,0.0006536,0.0006536,0.0006536
70,563.724,1.57221,0.84217,0.83022,0.73778,0.49296,0.5801,0.23877,1.88891,1.46439,1.05951,0.0006338,0.0006338,0.0006338
71,570.992,1.59391,0.83849,0.81761,0.69485,0.49296,0.57222,0.23098,1.98472,1.53941,1.20343,0.000614,0.000614,0.000614
72,578.445,1.69798,0.91935,0.82555,0.62909,0.47183,0.55055,0.21977,1.90368,1.26836,1.09164,0.0005942,0.0005942,0.0005942
73,587.959,1.56482,0.84054,0.85098,0.69911,0.47887,0.55538,0.24205,1.82707,1.55866,1.04959,0.0005744,0.0005744,0.0005744
74,595.497,1.56163,0.8159,0.81956,0.69498,0.43662,0.55019,0.23135,1.84265,1.4158,1.01493,0.0005546,0.0005546,0.0005546
75,602.651,1.50624,0.82547,0.83186,0.65753,0.48676,0.55438,0.23094,1.82964,1.33036,1.0631,0.0005348,0.0005348,0.0005348
76,609.974,1.54907,0.81075,0.83697,0.66479,0.42958,0.53869,0.23179,1.88068,1.34798,1.00834,0.000515,0.000515,0.000515
77,617.585,1.52806,0.80404,0.8195,0.69411,0.42958,0.5315,0.2267,1.80464,1.43155,0.99772,0.0004952,0.0004952,0.0004952
78,627.171,1.48852,0.76625,0.81778,0.66165,0.44071,0.52184,0.22819,1.7893,1.34712,0.99274,0.0004754,0.0004754,0.0004754
79,634.509,1.53129,0.81433,0.80336,0.79921,0.42254,0.58608,0.26211,1.7724,1.16557,0.97628,0.0004556,0.0004556,0.0004556
80,641.629,1.55405,0.8421,0.82247,0.70028,0.45775,0.56606,0.25118,1.73823,1.33568,0.98215,0.0004358,0.0004358,0.0004358
81,649.144,1.45983,0.77439,0.80335,0.79683,0.49296,0.59951,0.26644,1.68668,1.48984,1.02386,0.000416,0.000416,0.000416
82,658.579,1.47456,0.7865,0.81964,0.73954,0.47183,0.58807,0.26365,1.81526,1.37403,1.06953,0.0003962,0.0003962,0.0003962
83,666.143,1.50792,0.79252,0.81398,0.75428,0.43662,0.56968,0.25895,1.80682,1.4024,1.02025,0.0003764,0.0003764,0.0003764
84,673.621,1.36784,0.73485,0.8146,0.66878,0.46925,0.58648,0.25706,1.91631,1.46547,1.19794,0.0003566,0.0003566,0.0003566
85,681.065,1.42104,0.76514,0.81334,0.68312,0.4858,0.57365,0.25699,1.85176,1.5822,1.19844,0.0003368,0.0003368,0.0003368
86,688.504,1.47231,0.74612,0.80795,0.71401,0.52113,0.60853,0.25445,1.86176,1.47825,1.10845,0.000317,0.000317,0.000317
87,697.339,1.52524,0.85373,0.82587,0.70993,0.47887,0.59201,0.25759,1.77153,1.38022,1.00205,0.0002972,0.0002972,0.0002972
88,704.741,1.54318,0.78831,0.81475,0.79681,0.40845,0.56084,0.22837,1.83178,1.55181,1.06142,0.0002774,0.0002774,0.0002774
89,712.322,1.50906,0.7899,0.80556,0.71746,0.49296,0.60034,0.2543,1.75528,1.33906,0.97781,0.0002576,0.0002576,0.0002576
90,719.684,1.42952,0.71015,0.82203,0.7398,0.50057,0.60768,0.26327,1.78862,1.28396,1.00451,0.0002378,0.0002378,0.0002378
91,729.215,1.49532,0.75369,0.79726,0.72938,0.44366,0.56204,0.25118,1.76653,1.41438,0.98965,0.000218,0.000218,0.000218
92,736.978,1.49364,0.79072,0.80629,0.74123,0.4438,0.57082,0.24535,1.71361,1.44187,0.98929,0.0001982,0.0001982,0.0001982
93,744.444,1.47025,0.75041,0.81089,0.80208,0.44366,0.56567,0.24651,1.76128,1.42755,0.98789,0.0001784,0.0001784,0.0001784
94,751.919,1.47655,0.75045,0.82958,0.77235,0.4507,0.56398,0.24994,1.76388,1.4633,0.99242,0.0001586,0.0001586,0.0001586
95,761.071,1.43233,0.76584,0.80861,0.70548,0.45775,0.55448,0.25844,1.70417,1.3957,0.98188,0.0001388,0.0001388,0.0001388
96,768.515,1.3776,0.71934,0.80603,0.6831,0.47058,0.55303,0.24662,1.9254,1.53956,1.24013,0.000119,0.000119,0.000119
97,776.007,1.40711,0.73247,0.81588,0.70328,0.46479,0.57625,0.25474,1.93995,1.48667,1.18959,9.92e-05,9.92e-05,9.92e-05
98,783.516,1.41576,0.73755,0.80851,0.71084,0.45011,0.56452,0.25333,1.83678,1.52942,1.07885,7.94e-05,7.94e-05,7.94e-05
99,792.83,1.48126,0.74376,0.81025,0.76092,0.44366,0.5737,0.25858,1.76093,1.45322,1.00457,5.96e-05,5.96e-05,5.96e-05
100,800.682,1.44533,0.75437,0.80333,0.71908,0.45775,0.56307,0.24689,1.81704,1.44254,1.04032,3.98e-05,3.98e-05,3.98e-05
