frame_id,timestamp_s,cluster_score,density_ratio,players,x_min,y_min,x_max,y_max
14497,499.862,41,1.464285714,27,29,106,1279,516
14498,499.897,38,1.407407407,26,27,107,1279,516
14499,499.931,38,1.407407407,26,26,108,1279,516
14500,499.966,32,1.230769231,25,24,108,1279,515
14501,500,32,1.230769231,25,23,108,1279,516
14502,500.034,32,1.230769231,25,23,108,1279,516
14552,501.759,31,1.409090909,21,48,50,1191,471
14558,501.966,27,1.227272727,21,9,79,1224,469
14570,502.379,29,1.45,19,45,71,1236,468
15820,545.483,24,1.333333333,17,35,53,1034,510
15829,545.793,27,1.285714286,20,83,51,1027,510
15830,545.828,26,1.238095238,20,87,53,1026,511
15832,545.897,27,1.227272727,21,5,59,1025,515
15841,546.207,29,1.208333333,23,8,74,1026,599
15859,546.828,32,1.230769231,25,0,105,1041,582
15860,546.862,32,1.230769231,25,0,105,1041,582
15861,546.897,32,1.230769231,25,0,105,1041,582
15862,546.931,32,1.230769231,25,0,105,1041,582
15863,546.966,33,1.269230769,25,1,107,1041,581
15864,547,34,1.307692308,25,2,110,1042,582
15906,548.448,31,1.24,24,15,166,1045,563
15909,548.552,29,1.208333333,23,14,174,1044,564
15911,548.621,31,1.24,24,14,171,1044,565
15913,548.69,30,1.25,23,13,178,1044,565
15914,548.724,30,1.25,23,13,178,1044,565
15916,548.793,30,1.25,23,12,183,1044,566
15922,549,28,1.217391304,22,10,190,1044,568
15923,549.034,31,1.291666667,23,9,190,1044,568
15924,549.069,33,1.375,23,9,191,1043,569
15925,549.103,29,1.260869565,22,8,191,1043,570
15926,549.138,32,1.333333333,23,8,191,1043,570
15929,549.241,32,1.28,24,8,192,1042,570
15930,549.276,32,1.230769231,25,8,192,1200,570
15931,549.31,33,1.32,24,8,193,1042,570
15941,549.655,39,1.444444444,26,10,208,1041,686
15962,550.379,32,1.28,24,15,241,1031,686
15968,550.586,31,1.24,24,15,256,1024,686
15971,550.69,30,1.25,23,20,273,1022,602
15977,550.897,32,1.28,24,2,334,1012,648
15983,551.103,29,1.318181818,21,16,397,998,686
15984,551.138,26,1.238095238,20,18,406,995,688
15989,551.31,27,1.285714286,20,38,442,1150,685
15990,551.345,28,1.4,19,42,445,983,686
15991,551.379,24,1.263157895,18,50,453,978,686
15992,551.414,30,1.428571429,20,52,455,1146,686
15993,551.448,30,1.5,19,56,460,976,687
15994,551.483,31,1.476190476,20,59,464,974,686
15995,551.517,28,1.4,19,63,467,972,686
15996,551.552,26,1.444444444,17,67,470,971,686
15997,551.586,22,1.222222222,17,69,473,1143,686
15998,551.621,27,1.421052632,18,69,473,1143,686
15999,551.655,23,1.210526316,18,69,476,1143,686
16000,551.69,24,1.411764706,16,70,478,968,686
16001,551.724,24,1.333333333,17,71,482,1142,686
16002,551.759,35,1.944444444,17,72,485,965,687
16003,551.793,23,1.352941176,16,74,487,1142,685
16004,551.828,30,1.5,19,74,487,1143,686
16005,551.862,28,1.555555556,17,75,490,1143,685
16006,551.897,29,1.611111111,17,76,492,1143,685
16007,551.931,20,1.25,15,136,493,1143,686
16008,551.966,21,1.4,14,137,495,960,686
16009,552,21,1.4,14,137,496,960,686
16010,552.034,18,1.285714286,13,137,504,959,686
16011,552.069,24,1.6,14,137,501,958,686
16012,552.103,26,1.625,15,136,499,958,686
16015,552.207,17,1.214285714,13,129,509,1157,685
16016,552.241,19,1.266666667,14,127,498,1159,685
16017,552.276,24,1.5,15,124,509,1162,686
16018,552.31,23,1.642857143,13,121,511,961,686
16019,552.345,23,1.642857143,13,119,511,963,686
16020,552.379,22,1.571428571,13,116,515,1171,684
16021,552.414,22,1.692307692,12,365,517,1178,684
16022,552.448,22,1.833333333,11,361,521,927,684
16023,552.483,21,1.75,11,357,524,928,685
16025,552.552,17,1.214285714,13,19,515,931,686
16642,573.828,25,1.25,19,53,335,1021,586
17096,589.483,26,1.238095238,20,60,299,1071,687
17812,614.172,22,1.222222222,17,1,344,1214,664
17843,615.241,29,1.380952381,20,220,291,1217,624
17849,615.448,25,1.25,19,178,287,1212,625
17852,615.552,27,1.285714286,20,138,277,1207,626
17853,615.586,38,1.652173913,22,133,276,1205,626
17854,615.621,26,1.238095238,20,121,276,1202,626
17891,616.897,31,1.476190476,20,0,289,1189,683
17897,617.103,25,1.315789474,18,390,289,1255,548
17898,617.138,22,1.222222222,17,393,291,1249,550
17899,617.172,23,1.277777778,17,396,293,1241,551
17900,617.207,24,1.333333333,17,401,294,1234,553
17901,617.241,24,1.333333333,17,407,298,1225,554
17902,617.276,30,1.578947368,18,415,300,1219,553
17903,617.31,36,1.894736842,18,418,300,1217,552
17904,617.345,30,1.578947368,18,425,302,1213,553
17905,617.379,25,1.388888889,17,433,304,1210,555
17906,617.414,29,1.611111111,17,442,306,1207,558
17907,617.448,21,1.235294118,16,450,308,1203,563
17908,617.483,21,1.235294118,16,459,310,1200,564
17909,617.517,22,1.294117647,16,462,311,1199,565
17915,617.724,22,1.294117647,16,489,322,1171,575
17917,617.793,22,1.294117647,16,497,319,1161,576
17920,617.897,31,1.722222222,17,500,319,1141,576
17921,617.931,22,1.375,15,512,319,1123,577
17922,617.966,34,1.789473684,18,486,319,1144,577
17923,618,34,1.789473684,18,481,319,1140,577
17924,618.034,26,1.444444444,17,474,318,1138,577
17925,618.069,35,1.75,19,468,318,1137,577
17926,618.103,34,1.7,19,466,318,1138,577
17927,618.138,25,1.388888889,17,462,316,1138,578
17928,618.172,26,1.444444444,17,455,316,1138,578
17929,618.207,21,1.235294118,16,448,313,1139,578
17933,618.345,25,1.388888889,17,423,312,1140,574
17934,618.379,26,1.444444444,17,417,311,1141,575
17935,618.414,24,1.333333333,17,411,310,1144,575
17936,618.448,23,1.210526316,18,203,310,1145,688
