frame,processing_time_ms,detected_keypoints,confidence_scores
25,104.52461242675781,11,"[0.7197182774543762, 0.528750479221344, 0.40935879945755005, 0.5066336989402771, 0.19185912609100342, 0.1526564657688141, 0.7304226756095886, 0.7471052408218384, 0.6716963648796082, 0.5959092974662781, 1.0047070980072021]"
26,101.59420967102051,11,"[0.7326756119728088, 0.5548497438430786, 0.39308470487594604, 0.5229918956756592, 0.1885213702917099, 0.14387552440166473, 0.7503503561019897, 0.7563285827636719, 0.6492910981178284, 0.6008787751197815, 1.00514817237854]"
27,106.56452178955078,11,"[0.737022340297699, 0.5514398217201233, 0.3878529369831085, 0.5237218141555786, 0.1844298392534256, 0.1416434645652771, 0.7455309629440308, 0.7644332647323608, 0.6378055810928345, 0.5862604379653931, 1.005677580833435]"
28,97.52082824707031,11,"[0.7346070408821106, 0.5873779654502869, 0.4325504004955292, 0.5419434905052185, 0.20033809542655945, 0.16141124069690704, 0.7416358590126038, 0.7794711589813232, 0.6586146950721741, 0.5942006707191467, 1.0055766105651855]"
29,98.04296493530273,12,"[0.7184236645698547, 0.6003740429878235, 0.5131163597106934, 0.5111743807792664, 0.17087633907794952, 0.1377575397491455, 0.18212687969207764, 0.7399734854698181, 0.7780386209487915, 0.6698111891746521, 0.5950037837028503, 1.0047484636306763]"
30,100.56233406066895,12,"[0.7577736377716064, 0.6423406004905701, 0.5481833219528198, 0.5449548959732056, 0.2343110293149948, 0.11935696005821228, 0.14220300316810608, 0.7601430416107178, 0.8069337010383606, 0.6677743196487427, 0.6201502680778503, 1.0039914846420288]"
31,99.52950477600098,11,"[0.7490091919898987, 0.6436030268669128, 0.6183170676231384, 0.5186883807182312, 0.2841409146785736, 0.13176359236240387, 0.7618315815925598, 0.7918955683708191, 0.6640781760215759, 0.6259022355079651, 1.003851056098938]"
32,97.52798080444336,12,"[0.7627332210540771, 0.5951536297798157, 0.5762535929679871, 0.5358709692955017, 0.3889339864253998, 0.212335467338562, 0.16002041101455688, 0.7753558158874512, 0.8027098178863525, 0.6646767854690552, 0.6561369299888611, 1.0042505264282227]"
33,104.55155372619629,14,"[0.7731448411941528, 0.5724775195121765, 0.5610587000846863, 0.28950732946395874, 0.5043623447418213, 0.24426932632923126, 0.15702979266643524, 0.10432673990726471, 0.17835181951522827, 0.7931035757064819, 0.8078299760818481, 0.5644102096557617, 0.6221851706504822, 1.00399649143219]"
34,95.58701515197754,12,"[0.7776568531990051, 0.5704442262649536, 0.5437443852424622, 0.5157159566879272, 0.36509060859680176, 0.19424988329410553, 0.1676257848739624, 0.7895002365112305, 0.8129692673683167, 0.5276151895523071, 0.5796647667884827, 1.0041052103042603]"
35,101.51338577270508,12,"[0.7740729451179504, 0.5141230821609497, 0.5365546345710754, 0.4454442858695984, 0.2713668644428253, 0.10626071691513062, 0.15953457355499268, 0.7553961277008057, 0.7905527949333191, 0.41354015469551086, 0.5894526839256287, 1.0042476654052734]"
36,104.52485084533691,11,"[0.7949008941650391, 0.5733312964439392, 0.570561945438385, 0.5079860091209412, 0.20166248083114624, 0.11136069893836975, 0.7462646961212158, 0.801673412322998, 0.43980056047439575, 0.6551324725151062, 1.0041718482971191]"
37,104.51698303222656,12,"[0.7739000916481018, 0.5922831296920776, 0.5599374175071716, 0.47539767622947693, 0.17270641028881073, 0.14248251914978027, 0.22422462701797485, 0.7414191961288452, 0.8106735348701477, 0.4690822958946228, 0.7023837566375732, 1.0041911602020264]"
38,104.56109046936035,13,"[0.7295787334442139, 0.5500290989875793, 0.5546203255653381, 0.4755989909172058, 0.3192598223686218, 0.28065598011016846, 0.17688970267772675, 0.27118590474128723, 0.7774872779846191, 0.778968095779419, 0.44102805852890015, 0.6920430660247803, 1.0040565729141235]"
39,107.03420639038086,12,"[0.7273734211921692, 0.5453556180000305, 0.5508024096488953, 0.43880391120910645, 0.3563171327114105, 0.15366722643375397, 0.2358098030090332, 0.7852272987365723, 0.797491192817688, 0.465591162443161, 0.6962384581565857, 1.0040370225906372]"
40,108.63399505615234,12,"[0.7518187761306763, 0.5769215226173401, 0.5745729207992554, 0.4607140123844147, 0.4637655019760132, 0.15755099058151245, 0.2597343623638153, 0.7581816911697388, 0.8094128370285034, 0.5169577598571777, 0.6914532780647278, 1.0037829875946045]"
41,115.54265022277832,13,"[0.749481201171875, 0.5960779786109924, 0.573887288570404, 0.45936837792396545, 0.48864465951919556, 0.18074682354927063, 0.10783687233924866, 0.21439450979232788, 0.7430224418640137, 0.8088791966438293, 0.5608269572257996, 0.6844380497932434, 1.0041873455047607]"
42,116.52994155883789,12,"[0.739977240562439, 0.5585843920707703, 0.5420566201210022, 0.4332287609577179, 0.4520312249660492, 0.13595904409885406, 0.1931636929512024, 0.7289010882377625, 0.8081395626068115, 0.5486692786216736, 0.6723287105560303, 1.0041930675506592]"
43,109.53092575073242,13,"[0.7261896133422852, 0.5393460988998413, 0.55829256772995, 0.3948514759540558, 0.3386712074279785, 0.1476096510887146, 0.10351274907588959, 0.17673513293266296, 0.7182896137237549, 0.8036783933639526, 0.5273417234420776, 0.638829231262207, 1.0041999816894531]"
44,108.57343673706055,12,"[0.7214365601539612, 0.538270115852356, 0.5672526955604553, 0.38012319803237915, 0.21550987660884857, 0.12264768779277802, 0.1733235865831375, 0.7207432389259338, 0.7985151410102844, 0.5167250037193298, 0.6275177001953125, 1.004202961921692]"
45,106.57334327697754,13,"[0.72904372215271, 0.5669020414352417, 0.5763403177261353, 0.41274937987327576, 0.22907666862010956, 0.2225259244441986, 0.11182482540607452, 0.2046436369419098, 0.7351237535476685, 0.7926976084709167, 0.5148143768310547, 0.6436264514923096, 1.0037801265716553]"
46,99.26629066467285,12,"[0.7283592224121094, 0.5917133092880249, 0.5840179920196533, 0.4335853159427643, 0.31723496317863464, 0.2323077917098999, 0.16613273322582245, 0.749295175075531, 0.7912259101867676, 0.5118796229362488, 0.6577969193458557, 1.004203200340271]"
47,97.57161140441895,12,"[0.7477362751960754, 0.6293319463729858, 0.6093160510063171, 0.4639766216278076, 0.39700448513031006, 0.20364148914813995, 0.1644359827041626, 0.7596394419670105, 0.8016919493675232, 0.5405502319335938, 0.6705084443092346, 1.0041981935501099]"
48,100.51703453063965,12,"[0.7521119713783264, 0.6385914087295532, 0.6189569234848022, 0.47017863392829895, 0.41054797172546387, 0.18961672484874725, 0.1759287416934967, 0.7593460083007812, 0.8234025239944458, 0.5534139275550842, 0.6835891604423523, 1.0038580894470215]"
49,109.52210426330566,12,"[0.7533392906188965, 0.6455360054969788, 0.6294578909873962, 0.47726789116859436, 0.42209336161613464, 0.18879763782024384, 0.16599412262439728, 0.7604959607124329, 0.8256111145019531, 0.5289074182510376, 0.6740747094154358, 1.0042765140533447]"
50,108.5960865020752,12,"[0.7520124316215515, 0.6394345760345459, 0.6418601870536804, 0.47537854313850403, 0.4324702322483063, 0.1807509958744049, 0.14728142321109772, 0.7619842290878296, 0.835793673992157, 0.5098519325256348, 0.6853188276290894, 1.0040425062179565]"
51,106.51779174804688,12,"[0.7533939480781555, 0.6316470503807068, 0.6481406092643738, 0.4895239770412445, 0.40373796224594116, 0.16999302804470062, 0.1608358770608902, 0.7558242678642273, 0.8452925682067871, 0.49271517992019653, 0.6943750381469727, 1.0048108100891113]"
52,102.51879692077637,12,"[0.7589679956436157, 0.6431717276573181, 0.6441216468811035, 0.4949779212474823, 0.35889944434165955, 0.1718766689300537, 0.14325813949108124, 0.7572013735771179, 0.851141095161438, 0.4966970682144165, 0.7059756517410278, 1.004399299621582]"
53,107.45358467102051,12,"[0.7685377597808838, 0.6475913524627686, 0.6351029872894287, 0.49860188364982605, 0.40727701783180237, 0.20117071270942688, 0.15502087771892548, 0.7416934967041016, 0.8530353307723999, 0.5126883387565613, 0.71845543384552, 1.0036346912384033]"
54,138.641357421875,12,"[0.7738651037216187, 0.6533864736557007, 0.6265639662742615, 0.5208562016487122, 0.3788611590862274, 0.1836426556110382, 0.15488968789577484, 0.7374399900436401, 0.8622852563858032, 0.5070000290870667, 0.7178727388381958, 1.0041285753250122]"
55,120.51773071289062,14,"[0.7690173387527466, 0.6340368390083313, 0.6164505481719971, 0.11595538258552551, 0.5143544673919678, 0.42936721444129944, 0.1917877346277237, 0.15530337393283844, 0.21947024762630463, 0.746009886264801, 0.8611352443695068, 0.48900601267814636, 0.7217197418212891, 1.0045478343963623]"
56,123.6119270324707,14,"[0.7591309547424316, 0.6395098567008972, 0.6172347068786621, 0.11681030690670013, 0.48392683267593384, 0.3615066409111023, 0.1734006404876709, 0.15673412382602692, 0.19810861349105835, 0.7385074496269226, 0.8750048279762268, 0.4723512828350067, 0.7196581959724426, 1.0046132802963257]"
57,128.53002548217773,14,"[0.7546547651290894, 0.6281299591064453, 0.6107178330421448, 0.13573655486106873, 0.496621310710907, 0.36307257413864136, 0.18400000035762787, 0.17978423833847046, 0.20314553380012512, 0.7287611365318298, 0.8673912286758423, 0.41222670674324036, 0.713371217250824, 1.0055946111679077]"
58,125.52356719970703,14,"[0.7423539161682129, 0.6298214793205261, 0.6079483032226562, 0.11672407388687134, 0.4906029999256134, 0.33968061208724976, 0.15735803544521332, 0.15888220071792603, 0.20883126556873322, 0.7152936458587646, 0.8556103110313416, 0.352254718542099, 0.7027143239974976, 1.0057096481323242]"
59,130.51724433898926,15,"[0.7557858824729919, 0.6317281723022461, 0.6094066500663757, 0.11745961010456085, 0.4971452057361603, 0.33673444390296936, 0.164179265499115, 0.1455090194940567, 0.11051622778177261, 0.20855551958084106, 0.7262371778488159, 0.8402738571166992, 0.36669397354125977, 0.7302496433258057, 1.0058010816574097]"
60,112.0607852935791,13,"[0.7511380910873413, 0.6086152791976929, 0.5935337543487549, 0.4751504063606262, 0.313904732465744, 0.15285277366638184, 0.13887596130371094, 0.1713147610425949, 0.744178056716919, 0.8025833368301392, 0.39155954122543335, 0.7278581857681274, 1.0051226615905762]"
61,107.1631908416748,13,"[0.7938588857650757, 0.5787670612335205, 0.5831264853477478, 0.44487154483795166, 0.2209956794977188, 0.10654947906732559, 0.13244055211544037, 0.17031629383563995, 0.7913017868995667, 0.815573513507843, 0.39930981397628784, 0.6790804266929626, 1.0044667720794678]"
62,107.38110542297363,12,"[0.7890902757644653, 0.5899320840835571, 0.5968562364578247, 0.4214198887348175, 0.15095096826553345, 0.13074329495429993, 0.16732904314994812, 0.7992997765541077, 0.8125600218772888, 0.5469416975975037, 0.6005035042762756, 1.004469394683838]"
63,105.62801361083984,12,"[0.7820045948028564, 0.601410984992981, 0.598332941532135, 0.4259887933731079, 0.12469463050365448, 0.10929861664772034, 0.18072909116744995, 0.801686704158783, 0.7912230491638184, 0.5252346992492676, 0.5534089803695679, 1.0044091939926147]"
64,110.52322387695312,11,"[0.7745466828346252, 0.5963135361671448, 0.5986476540565491, 0.41093504428863525, 0.13106423616409302, 0.16439765691757202, 0.7764571905136108, 0.8048810362815857, 0.6488234996795654, 0.5969243049621582, 1.0044395923614502]"
65,104.52032089233398,11,"[0.7474637627601624, 0.5753642320632935, 0.5791534781455994, 0.38403260707855225, 0.15226347744464874, 0.20358824729919434, 0.75017911195755, 0.8071300983428955, 0.666202962398529, 0.5565506219863892, 1.004366397857666]"
66,106.52804374694824,11,"[0.7671819925308228, 0.5394337773323059, 0.572822630405426, 0.3733714520931244, 0.13250042498111725, 0.19847118854522705, 0.7646707892417908, 0.8127738833427429, 0.696016788482666, 0.5283635258674622, 1.0043668746948242]"
67,102.53572463989258,12,"[0.7797998785972595, 0.5794422030448914, 0.5910074710845947, 0.3990772068500519, 0.12508922815322876, 0.12299509346485138, 0.21645523607730865, 0.7589494585990906, 0.8200870752334595, 0.7375969290733337, 0.46401089429855347, 1.0043654441833496]"
68,112.52093315124512,11,"[0.7877669930458069, 0.5584802627563477, 0.5834981799125671, 0.37902259826660156, 0.12592847645282745, 0.2057080864906311, 0.769420325756073, 0.8383307456970215, 0.7642678618431091, 0.465686172246933, 1.004368543624878]"
69,113.53206634521484,13,"[0.7789891958236694, 0.5732685923576355, 0.592722475528717, 0.3883160948753357, 0.13125421106815338, 0.13410435616970062, 0.14527681469917297, 0.2279738187789917, 0.7784445285797119, 0.8533230423927307, 0.7431822419166565, 0.42082688212394714, 1.0043286085128784]"
70,107.5294017791748,11,"[0.7849082946777344, 0.5787290930747986, 0.5939314365386963, 0.40312886238098145, 0.12957215309143066, 0.1851702481508255, 0.7772288918495178, 0.8476108908653259, 0.7635193467140198, 0.43109604716300964, 1.004314661026001]"
71,118.16024780273438,12,"[0.767684817314148, 0.5869489312171936, 0.5896669626235962, 0.42047178745269775, 0.12168391048908234, 0.13569989800453186, 0.1922987848520279, 0.761551558971405, 0.830714762210846, 0.7656412124633789, 0.46319499611854553, 1.0043092966079712]"
72,103.53493690490723,12,"[0.7639265060424805, 0.5805251598358154, 0.577307939529419, 0.434033066034317, 0.11189177632331848, 0.15487979352474213, 0.19187462329864502, 0.7644350528717041, 0.8413823246955872, 0.7760148644447327, 0.4818201959133148, 1.0043107271194458]"
73,104.53510284423828,12,"[0.7561649084091187, 0.5750975012779236, 0.5737723708152771, 0.43809518218040466, 0.12313669919967651, 0.1661633551120758, 0.18768242001533508, 0.7665923237800598, 0.8362069129943848, 0.7677790522575378, 0.4687550961971283, 1.0043123960494995]"
74,103.52110862731934,12,"[0.7617319822311401, 0.5792301893234253, 0.5681402087211609, 0.43822920322418213, 0.14023590087890625, 0.17305196821689606, 0.1924271434545517, 0.7663986086845398, 0.838371992111206, 0.7611352801322937, 0.46588554978370667, 1.004309892654419]"
75,106.52351379394531,12,"[0.7578026652336121, 0.5823521018028259, 0.5703352689743042, 0.4467364251613617, 0.13763853907585144, 0.16609366238117218, 0.17409174144268036, 0.7671388387680054, 0.8349137902259827, 0.7624526023864746, 0.48427608609199524, 1.0042449235916138]"
76,104.52032089233398,12,"[0.7500889301300049, 0.5409811735153198, 0.559942901134491, 0.4130593240261078, 0.14867950975894928, 0.16702333092689514, 0.1761632114648819, 0.7571448683738708, 0.8248865008354187, 0.7480857968330383, 0.4911681115627289, 1.0043694972991943]"
77,103.52301597595215,12,"[0.7422752380371094, 0.5254923701286316, 0.5554646253585815, 0.4094987213611603, 0.144257053732872, 0.1626840978860855, 0.17545387148857117, 0.75825434923172, 0.8221026659011841, 0.7410863041877747, 0.4978138208389282, 1.0043805837631226]"
78,112.53213882446289,12,"[0.7638241052627563, 0.5489341616630554, 0.5585724115371704, 0.42985349893569946, 0.16086477041244507, 0.16750308871269226, 0.19043280184268951, 0.7789366245269775, 0.8300762176513672, 0.7519730925559998, 0.510480523109436, 1.0044074058532715]"
79,103.1341552734375,12,"[0.7820904850959778, 0.5394251942634583, 0.5613418817520142, 0.4144275188446045, 0.14748144149780273, 0.17613869905471802, 0.20842984318733215, 0.7963486313819885, 0.8467515707015991, 0.7641198039054871, 0.5307536125183105, 1.004366159439087]"
80,102.5993824005127,12,"[0.7860258221626282, 0.5383221507072449, 0.5590311288833618, 0.42302992939949036, 0.20086060464382172, 0.1810905486345291, 0.21096599102020264, 0.7938613295555115, 0.8546357154846191, 0.7529533505439758, 0.5701158046722412, 1.0044887065887451]"
81,105.64780235290527,12,"[0.7874412536621094, 0.5468223690986633, 0.5641486644744873, 0.41804009675979614, 0.22663070261478424, 0.19238927960395813, 0.22132354974746704, 0.7815973162651062, 0.8554027676582336, 0.716732919216156, 0.5745128989219666, 1.0044432878494263]"
82,105.64923286437988,12,"[0.7664448022842407, 0.5485227108001709, 0.5621331334114075, 0.4132736623287201, 0.2512687146663666, 0.203120157122612, 0.23411813378334045, 0.759903073310852, 0.8278393149375916, 0.673669159412384, 0.5414214134216309, 1.0043871402740479]"
83,102.5230884552002,13,"[0.7561777234077454, 0.5384445786476135, 0.5659498572349548, 0.39666780829429626, 0.25762560963630676, 0.10162076354026794, 0.20633038878440857, 0.24936191737651825, 0.7239213585853577, 0.815837562084198, 0.5959048271179199, 0.533979058265686, 1.0043578147888184]"
84,105.51786422729492,12,"[0.7599762678146362, 0.5969929099082947, 0.5803532600402832, 0.4344266951084137, 0.23984317481517792, 0.18675443530082703, 0.23015742003917694, 0.743261456489563, 0.832330048084259, 0.6308440566062927, 0.5754843950271606, 1.0042533874511719]"
85,109.52329635620117,12,"[0.7604498267173767, 0.581858217716217, 0.5773131847381592, 0.41735565662384033, 0.24060074985027313, 0.19358086585998535, 0.23156505823135376, 0.7430473566055298, 0.8278529047966003, 0.6055862903594971, 0.5676707625389099, 1.0042753219604492]"
86,103.52373123168945,12,"[0.7623907327651978, 0.5615327954292297, 0.5676856637001038, 0.41369038820266724, 0.22716717422008514, 0.160588800907135, 0.2160392552614212, 0.7648380994796753, 0.8329426050186157, 0.5790802240371704, 0.5696548223495483, 1.0044100284576416]"
87,104.47049140930176,12,"[0.783690333366394, 0.5524328947067261, 0.5553644895553589, 0.4222734272480011, 0.252952516078949, 0.15628692507743835, 0.2255449891090393, 0.8069490194320679, 0.85270756483078, 0.6008697152137756, 0.6071561574935913, 1.0042908191680908]"
88,104.54750061035156,12,"[0.8061543703079224, 0.541039228439331, 0.5431759357452393, 0.4223170280456543, 0.26104864478111267, 0.13993000984191895, 0.22251635789871216, 0.8209289908409119, 0.8610709309577942, 0.6315762996673584, 0.5819976925849915, 1.004190444946289]"
89,105.52120208740234,12,"[0.8292396664619446, 0.5542136430740356, 0.546929121017456, 0.4502069354057312, 0.2555994987487793, 0.13338959217071533, 0.22132234275341034, 0.8410396575927734, 0.8655101656913757, 0.6210232973098755, 0.6244469881057739, 1.0040704011917114]"
90,102.63895988464355,13,"[0.8304920792579651, 0.5491056442260742, 0.5492122173309326, 0.46604591608047485, 0.25383007526397705, 0.10812799632549286, 0.11868740618228912, 0.22075055539608002, 0.846544623374939, 0.8730748891830444, 0.6174216866493225, 0.6242611408233643, 1.0042208433151245]"
91,103.62482070922852,13,"[0.8334028720855713, 0.5718127489089966, 0.555736243724823, 0.47884371876716614, 0.25407758355140686, 0.16961699724197388, 0.13287773728370667, 0.24076025187969208, 0.8395341634750366, 0.8701215386390686, 0.6372020840644836, 0.6186174154281616, 1.0041391849517822]"
92,103.54256629943848,13,"[0.8415209650993347, 0.5533931255340576, 0.5508570075035095, 0.47536441683769226, 0.245139941573143, 0.1009850725531578, 0.14070382714271545, 0.24398072063922882, 0.8469003438949585, 0.8666259050369263, 0.6467649340629578, 0.6382514238357544, 1.004749059677124]"
93,104.57062721252441,13,"[0.8417978286743164, 0.5510344505310059, 0.5404212474822998, 0.4703366458415985, 0.24715997278690338, 0.10890848934650421, 0.14364153146743774, 0.2408788949251175, 0.847917377948761, 0.8573442697525024, 0.6334162950515747, 0.6303879618644714, 1.0046533346176147]"
94,106.5206527709961,13,"[0.8374786376953125, 0.5785823464393616, 0.5767199993133545, 0.4745890498161316, 0.28076037764549255, 0.1639859527349472, 0.14838673174381256, 0.2469422072172165, 0.839402437210083, 0.8541719317436218, 0.5870217680931091, 0.6261824369430542, 1.0048478841781616]"
95,103.20186614990234,13,"[0.8338994383811951, 0.6093478798866272, 0.5792551040649414, 0.47233352065086365, 0.3112916052341461, 0.15380726754665375, 0.15509898960590363, 0.21263238787651062, 0.826759397983551, 0.8533352613449097, 0.5876471996307373, 0.6301811933517456, 1.0053632259368896]"
96,102.53214836120605,13,"[0.8334212303161621, 0.5907899141311646, 0.5720679759979248, 0.4897770583629608, 0.3231993019580841, 0.15573729574680328, 0.14110711216926575, 0.22820821404457092, 0.8235582709312439, 0.8616058826446533, 0.572291910648346, 0.6411863565444946, 1.0052752494812012]"
97,103.52015495300293,13,"[0.8358334302902222, 0.5923919677734375, 0.5822980403900146, 0.47729116678237915, 0.38979387283325195, 0.19927944242954254, 0.1551562249660492, 0.21181227266788483, 0.8357800245285034, 0.8734009861946106, 0.585433840751648, 0.6800793409347534, 1.0052661895751953]"
98,102.52571105957031,13,"[0.8102360367774963, 0.5751180648803711, 0.5739288926124573, 0.4816473722457886, 0.3830486536026001, 0.1640743762254715, 0.10595518350601196, 0.17779169976711273, 0.828571617603302, 0.8592483401298523, 0.466042160987854, 0.6634127497673035, 1.0052756071090698]"
99,105.53574562072754,13,"[0.8134768009185791, 0.5726813673973083, 0.5869228839874268, 0.4881332516670227, 0.4133135974407196, 0.24086715281009674, 0.11762288212776184, 0.1552482694387436, 0.8375428915023804, 0.8608341813087463, 0.4291980266571045, 0.6748232841491699, 1.0052653551101685]"
100,103.5161018371582,13,"[0.7869948148727417, 0.6296099424362183, 0.6063476800918579, 0.5204921364784241, 0.39420104026794434, 0.18750274181365967, 0.13886244595050812, 0.17552919685840607, 0.8299573659896851, 0.8509780168533325, 0.44488006830215454, 0.6974464654922485, 1.0052894353866577]"
101,102.52761840820312,13,"[0.7550939321517944, 0.6450174450874329, 0.6188098788261414, 0.5339578986167908, 0.3915228247642517, 0.1583331972360611, 0.10565759241580963, 0.16522130370140076, 0.7823927998542786, 0.8478695750236511, 0.41811490058898926, 0.7054713368415833, 1.0052924156188965]"
102,103.52301597595215,13,"[0.7061604261398315, 0.6290451884269714, 0.5803633332252502, 0.5520148873329163, 0.44469597935676575, 0.1875137984752655, 0.1081438809633255, 0.1740729659795761, 0.7203069925308228, 0.8261210322380066, 0.3503359854221344, 0.7267923355102539, 1.0052337646484375]"
