frame,processing_time_ms,detected_keypoints,confidence_scores
1,493.2432174682617,19,"[0.8156065344810486, 0.7042168378829956, 0.6106071472167969, 0.6490235328674316, 0.7202720642089844, 0.5973386168479919, 0.5615928173065186, 0.596660852432251, 0.4256693422794342, 0.6954439878463745, 0.47090259194374084, 0.4954656958580017, 0.5349449515342712, 0.36697861552238464, 0.7670921087265015, 0.764976441860199, 0.8554155826568604, 0.7154244780540466, 1.0002861022949219]"
2,489.3949031829834,18,"[0.7467985153198242, 0.8163304328918457, 0.6811901926994324, 0.8232160806655884, 0.8031216859817505, 0.7816439867019653, 0.763515830039978, 0.7569880485534668, 0.5209534764289856, 0.5716844797134399, 0.6867650747299194, 0.5594539642333984, 0.6332811117172241, 0.644782304763794, 0.8030535578727722, 0.8614892959594727, 0.7866792678833008, 1.0002861022949219]"
3,488.1305694580078,19,"[0.7909395098686218, 0.6495550274848938, 0.680837869644165, 0.7156121730804443, 0.7088268995285034, 0.6196098923683167, 0.5980895161628723, 0.7296552062034607, 0.4699988067150116, 0.7857848405838013, 0.677739143371582, 0.49081024527549744, 0.7972986698150635, 0.6805801391601562, 0.9107891917228699, 0.8002342581748962, 0.7156621813774109, 0.7078392505645752, 1.0002861022949219]"
4,560.1391792297363,19,"[1.0039869546890259, 0.925029993057251, 0.8122090101242065, 0.8021777272224426, 0.6909100413322449, 0.812690258026123, 0.7992636561393738, 0.6698890924453735, 0.6772028207778931, 0.7433035969734192, 0.5613749623298645, 0.6152584552764893, 0.6938238739967346, 0.5453367829322815, 0.837778627872467, 0.8743715882301331, 0.8006460070610046, 0.6548053026199341, 1.0002861022949219]"
5,493.76630783081055,19,"[0.8448094725608826, 0.738078236579895, 0.6888035535812378, 0.8452409505844116, 0.8145878314971924, 0.8052142262458801, 0.7604163885116577, 0.7248656749725342, 0.5528191328048706, 0.6702378988265991, 0.6705007553100586, 0.5679314732551575, 0.647759735584259, 0.6034455895423889, 0.921779453754425, 0.8652194738388062, 0.7347601056098938, 0.803659975528717, 1.0002861022949219]"
6,468.2729244232178,19,"[0.7908405661582947, 0.7807304859161377, 0.7006675601005554, 0.5863727927207947, 0.5537534952163696, 0.6554815769195557, 0.6370696425437927, 0.48972293734550476, 0.5408915281295776, 0.542715311050415, 0.5286952257156372, 0.5189564824104309, 0.46852606534957886, 0.271914541721344, 0.7990612983703613, 0.7625442147254944, 0.7933197617530823, 0.9133653044700623, 1.0002861022949219]"
