Timestamp,Distance covered from previous time interval
2024-05-12T20:25:45.490Z,0.02
2024-05-12T20:25:50.495Z,0.14
2024-05-12T20:25:55.504Z,24
2024-05-12T20:26:00.566Z,0.32
2024-05-12T20:26:05.634Z,0.25
2024-05-12T20:26:10.698Z,0.47
2024-05-12T20:26:15.702Z,0.12
2024-05-12T20:26:20.702Z,0.38
2024-05-12T20:26:25.771Z,0.16
2024-05-12T20:26:30.775Z,15
2024-05-12T20:26:35.814Z,0.27
2024-05-12T20:26:40.814Z,0.48
2024-05-12T20:26:45.866Z,0.18
2024-05-12T20:26:50.869Z,41
2024-05-12T20:26:55.875Z,0.35
2024-05-12T20:27:01.383Z,42
2024-05-12T20:27:06.383Z,0.48
2024-05-12T20:27:11.420Z,13
2024-05-12T20:27:16.489Z,0.23
2024-05-12T20:27:21.496Z,12
2024-05-12T20:27:26.556Z,0.25
2024-05-12T20:27:31.556Z,0.38
2024-05-12T20:27:36.560Z,0.5
2024-05-12T20:27:41.563Z,0.3
2024-05-12T20:27:46.627Z,0.39
2024-05-12T20:27:51.632Z,0.22
2024-05-12T20:27:56.703Z,0.08
2024-05-12T20:28:01.704Z,21
2024-05-12T20:28:06.706Z,0.4
2024-05-12T20:28:11.776Z,40
2024-05-12T20:28:16.776Z,33
2024-05-12T20:28:21.819Z,26
2024-05-12T20:28:26.819Z,0.22
2024-05-12T20:28:31.821Z,0.17
2024-05-12T20:28:36.871Z,0.13
2024-05-12T20:28:42.388Z,0.2
2024-05-12T20:28:42.389Z,1
2024-05-12T20:28:47.415Z,0.13
2024-05-12T20:28:52.417Z,0.22
2024-05-12T20:28:57.417Z,0.2
2024-05-12T20:29:02.417Z,0.21
2024-05-12T20:29:07.419Z,0.13
2024-05-12T20:29:12.494Z,13
2024-05-12T20:29:17.496Z,29
2024-05-12T20:29:22.555Z,0.2
2024-05-12T20:29:27.557Z,24
2024-05-12T20:29:32.626Z,13
2024-05-12T20:29:37.628Z,25
2024-05-12T20:29:42.630Z,0.09
2024-05-12T20:29:47.700Z,0.14
2024-05-12T20:29:52.769Z,0.11
2024-05-12T20:29:57.772Z,28
2024-05-12T20:30:02.772Z,0.11
2024-05-12T20:30:07.774Z,0.22
2024-05-12T20:30:12.775Z,0.2
2024-05-12T20:30:17.816Z,0.21
2024-05-12T20:30:22.870Z,0.17
2024-05-12T20:30:27.869Z,0.08
2024-05-12T20:30:33.375Z,0.17
2024-05-12T20:30:38.376Z,0.17
2024-05-12T20:30:43.409Z,0.35
2024-05-12T20:30:48.418Z,0.12
2024-05-12T20:30:53.417Z,0.1
2024-05-12T20:30:58.491Z,0.06
2024-05-12T20:31:03.495Z,0.05
2024-05-12T20:31:08.554Z,0.51
2024-05-12T20:31:13.556Z,0.28
2024-05-12T20:31:18.558Z,0.39
2024-05-12T20:31:23.620Z,0.09
2024-05-12T20:31:28.625Z,0.66
2024-05-12T20:31:33.628Z,0.68
2024-05-12T20:31:38.628Z,0.48
2024-05-12T20:31:43.628Z,0.41
2024-05-12T20:31:48.630Z,0.12
2024-05-12T20:31:53.701Z,0.34
2024-05-12T20:31:58.702Z,0.18
2024-05-12T20:32:03.769Z,0.25
2024-05-12T20:32:08.771Z,0.14
2024-05-12T20:32:13.771Z,0.23
2024-05-12T20:32:18.776Z,0.17
2024-05-12T20:32:23.815Z,0.11
2024-05-12T20:32:28.865Z,0.29
2024-05-12T20:34:35.940Z,0.14
2024-05-12T20:34:35.940Z,0.22
2024-05-12T20:34:35.940Z,0.24
2024-05-12T20:34:35.940Z,0.19
2024-05-12T20:34:35.940Z,0.13
2024-05-12T20:34:35.940Z,0.27
2024-05-12T20:34:35.940Z,0.16
2024-05-12T20:34:35.940Z,0.02
2024-05-12T20:34:35.940Z,0.44
2024-05-12T20:34:35.940Z,0.45
2024-05-12T20:34:35.940Z,0.22
2024-05-12T20:34:35.940Z,0.7
2024-05-12T20:34:35.940Z,0.62
2024-05-12T20:34:35.940Z,0.42
2024-05-12T20:34:35.940Z,0.24
2024-05-12T20:34:35.940Z,0.19
2024-05-12T20:34:35.940Z,0.74
2024-05-12T20:34:35.940Z,0.06
2024-05-12T20:34:35.940Z,0.06
2024-05-12T20:34:35.940Z,0.07
2024-05-12T20:34:35.940Z,0.14
2024-05-12T20:34:35.940Z,0.09
2024-05-12T20:34:35.940Z,0.08
2024-05-12T20:34:35.940Z,0.1
2024-05-12T20:34:35.940Z,0.07
